SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GAUDIUMIVF,BE,27-02-2026,79.0,83.0,87.15,79.5,80.4,80.26,83.36,"88,49,112","73,76,42,229.11","30,060",-,-
GAUDIUMIVF,BE,02-03-2026,80.26,78.1,84.05,76.25,83.51,82.72,80.98,1805882,1462.34,10811, -, -
GAUDIUMIVF,BE,04-03-2026,82.72,80.21,82.15,78.59,81.0,80.78,80.19,628028,503.6,7490, -, -
GAUDIUMIVF,BE,05-03-2026,80.78,80.01,81.94,79.0,79.45,79.8,79.74,356202,284.02,4365, -, -
GAUDIUMIVF,BE,06-03-2026,79.8,78.01,79.88,75.81,75.81,75.81,77.42,327687,253.71,3631, -, -
GAUDIUMIVF,BE,09-03-2026,75.81,72.02,76.0,72.02,73.7,73.59,72.68,450903,327.71,2469, -, -
GAUDIUMIVF,BE,10-03-2026,73.59,74.9,77.26,72.49,77.26,77.26,75.36,238396,179.66,992, -, -
GAUDIUMIVF,BE,11-03-2026,77.26,81.12,81.12,80.0,81.12,81.09,81.08,507232,411.25,1830, -, -
GAUDIUMIVF,BE,12-03-2026,81.09,79.1,83.0,77.77,81.0,80.87,80.79,317932,256.86,2247, -, -
GAUDIUMIVF,BE,13-03-2026,80.87,82.49,83.0,78.4,80.3,80.97,80.45,330262,265.68,1324, -, -
GAUDIUMIVF,EQ,16-03-2026,80.97,81.3,82.9,76.0,80.29,81.57,80.38,757933,609.19,4819, 320440, 42.28
GAUDIUMIVF,EQ,17-03-2026,81.57,80.29,88.0,79.22,84.25,85.0,84.83,1758210,1491.46,10684, 788863, 44.87
GAUDIUMIVF,EQ,18-03-2026,85.0,85.25,99.75,85.25,94.05,94.78,91.61,2646464,2424.3,16333, 1076108, 40.66
GAUDIUMIVF,EQ,19-03-2026,94.78,82.51,85.79,78.5,81.5,80.55,81.87,3452698,2826.85,22690, 1193828, 34.58
GAUDIUMIVF,EQ,20-03-2026,80.55,82.7,82.99,76.01,76.75,77.04,79.13,731455,578.83,6423, 356821, 48.78
GAUDIUMIVF,EQ,23-03-2026,77.04,77.0,77.38,69.18,70.9,70.67,72.35,628770,454.93,6462, 343876, 54.69
GAUDIUMIVF,EQ,24-03-2026,70.67,72.4,79.54,71.46,78.37,78.1,75.91,727663,552.37,6374, 340574, 46.80
GAUDIUMIVF,EQ,25-03-2026,78.1,79.99,81.75,78.03,79.0,78.84,79.97,365435,292.23,3304, 187064, 51.19
GAUDIUMIVF,EQ,27-03-2026,78.84,78.5,78.5,74.0,75.0,75.41,76.01,265194,201.57,2843, 143804, 54.23
GAUDIUMIVF,EQ,30-03-2026,75.41,73.81,74.89,71.0,72.5,71.53,72.26,424067,306.41,3011, 303053, 71.46
GAUDIUMIVF,EQ,01-04-2026,71.53,73.69,79.73,73.69,78.0,78.8,78.15,504208,394.06,3604, 284104, 56.35
GAUDIUMIVF,EQ,02-04-2026,78.8,77.0,81.5,72.73,77.35,76.51,77.15,816921,630.25,3945, 274356, 33.58
GAUDIUMIVF,EQ,06-04-2026,76.51,77.99,80.24,75.05,78.05,79.3,78.12,760756,594.33,4287, 321018, 42.20
GAUDIUMIVF,EQ,07-04-2026,79.3,78.51,79.5,76.95,78.31,78.72,78.45,472780,370.89,2648, 220439, 46.63
GAUDIUMIVF,EQ,08-04-2026,78.72,80.0,82.5,79.0,79.06,79.22,80.14,1048310,840.15,4695, 570672, 54.44
